rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,3407872,8.1791410446167,13.002002944,1.4307323694229126,4.181760664366525
16,32,6815744,8.300352331002554,11.994304,1.4318755865097046,4.186544058318783
64,128,27262976,8.396698133150737,14.344909312,1.4588708877563477,4.301100360510272
